minute,total_reward,mint_reward,total_fee,transaction_count
2025-08-04 23:52:00.000 UTC,361560.4679555347,360036.63392857154,1523.8340269632106,2721
2025-08-05 00:05:00.000 UTC,362392.72658596025,359555.2991071429,2837.4274788173752,3132
2025-08-05 00:11:00.000 UTC,720985.5295104448,719321,1664.5295104448217,9627
2025-08-05 00:20:00.000 UTC,361119.559585847,359368.2723214286,1751.2872644184408,4242
2025-08-05 00:49:00.000 UTC,363004.60705832037,359381.9017857142,3622.7052726061543,3675
2025-08-05 00:58:00.000 UTC,361254.12666753196,359209.33928571426,2044.7873818176606,2987
2025-08-05 01:21:00.000 UTC,362906.11310849426,359151.3392857142,3754.77382278003,3113
2025-08-05 01:38:00.000 UTC,362289.7194706423,359054.8660714286,3234.853399213711,3266
2025-08-05 01:46:00.000 UTC,360930.9666600235,359111.1339285714,1819.8327314520595,2272
2025-08-05 01:50:00.000 UTC,360057.94081864343,358953.0580357142,1104.882782929205,4165
2025-08-05 02:04:00.000 UTC,361205.5021697343,358647.6785714285,2557.8235983057643,2888
2025-08-05 02:14:00.000 UTC,360655.9267766715,358846.3616071428,1809.5651695286508,2020
2025-08-05 02:32:00.000 UTC,361611.2755304958,358448.6651785714,3162.6103519243306,2960
2025-08-05 02:40:00.000 UTC,360372.0683533835,358484.7008928572,1887.3674605263368,2782
2025-08-05 02:55:00.000 UTC,362508.0230130744,358680.544642857,3827.4783702173904,2807
2025-08-05 02:57:00.000 UTC,359423.8053369104,358680.5446428571,743.2606940532738,961
2025-08-05 03:13:00.000 UTC,360601.4999832612,357972.22321428574,2629.27676897554,3388
2025-08-05 03:20:00.000 UTC,359167.7605117755,357791.71875,1376.0417617755156,1811
2025-08-05 03:23:00.000 UTC,358502.49690160045,357791.71875,710.7781516004984,1193
2025-08-05 03:34:00.000 UTC,360037.1196951794,357483.6874999999,2553.432195179517,3007
2025-08-05 03:41:00.000 UTC,359763.93934763654,357323.44196428574,2440.497383350821,1997
2025-08-05 03:42:00.000 UTC,358151.0030558751,357323.44196428574,827.5610915892939,4921
2025-08-05 03:48:00.000 UTC,359022.3670933956,357459.8705357144,1562.4965576812774,3676
2025-08-05 04:06:00.000 UTC,360471.5686357134,357154.3883928572,3317.1802428561955,2587
2025-08-05 04:10:00.000 UTC,358945.2608629188,357472.3125,1472.9483629188205,3743
